ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,program_contact_1_TEXT,program_contact_2_TEXT,program_contact_3_TEXT,program_compare,program_agree_students,program_agree_fit,program_sat_staff,program_sat_interact,Q3,Q8,Q10,Q13_4,Q13_5,Q13_6,Q13_7,Q13_999,Q13_8,Q13_9,Q13_10,Q13_997,Q13_998,Q15_4,Q15_5,Q15_6,Q15_7,Q15_11,Q15_8,Q15_9,Q15_10,Q15_12,Q15_13,te_numeric_fail,te_numeric_good,sbs_notes#1_1,sbs_notes#1_2,sbs_notes#1_3,sbs_notes#1_4,sbs_notes#1_5,sbs_notes#1_6,sbs_notes#2_1,sbs_notes#2_2,sbs_notes#2_3,sbs_notes#2_4,sbs_notes#2_5,sbs_notes#2_6,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,"Please provide the following information so we can contact you about this program: Name, Mailing...-Name:","Please provide the following information so we can contact you about this program: Name, Mailing...-Mailing Address:","Please provide the following information so we can contact you about this program: Name, Mailing...-Phone Number:",Please evaluate this program. I consider this program...,Please rate your agreement with the following statements:-I felt welcomed by the students in this program,Please rate your agreement with the following statements:-I think this program will be a good fit for my academic interests,Please rate your satisfaction with the following aspects of your experience:-Communications with program staff,Please rate your satisfaction with the following aspects of your experience:-Interactions with students in program,This is just a normal question to see if everything is fine.,Multiple choice with NA option coded as -1,Multiple choice coded with regular responses,"This is a question with a 999, 998 and a 997 recode value.-Strongly agree","This is a question with a 999, 998 and a 997 recode value.-Agree","This is a question with a 999, 998 and a 997 recode value.-Somewhat agree","This is a question with a 999, 998 and a 997 recode value.-Neither agree nor disagree","This is a question with a 999, 998 and a 997 recode value.-NA, I haven't experienced this. (999)","This is a question with a 999, 998 and a 997 recode value.-Somewhat disagree","This is a question with a 999, 998 and a 997 recode value.-Disagree","This is a question with a 999, 998 and a 997 recode value.-Strongly disagree","This is a question with a 999, 998 and a 997 recode value.-NA, I don't have any opinion. (997)","This is a question with a 999, 998 and a 997 recode value.-NA, I really just don't care.... (998)",This is the same question but without recode values.-Strongly agree,This is the same question but without recode values.-Agree,This is the same question but without recode values.-Somewhat agree,This is the same question but without recode values.-Neither agree nor disagree,"This is the same question but without recode values.-NA, I haven't experienced this.",This is the same question but without recode values.-Somewhat disagree,This is the same question but without recode values.-Disagree,This is the same question but without recode values.-Strongly disagree,"This is the same question but without recode values.-NA, I don't have any opinion.","This is the same question but without recode values.-NA, I really just don't care....",This is a text entry question with numeric validation. It should generate a summary statistics ta...,"This is a text entry question with numeric validation. All values are numeric, so this generates...","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-What is your awareness of this movie?-The Lion King","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-What is your awareness of this movie?-Frozen","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-What is your awareness of this movie?-Finding Nemo","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-What is your awareness of this movie?-Newsies","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-What is your awareness of this movie?-Remember the Titans","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-What is your awareness of this movie?-That Thing You Do","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-How would you rate general public feelings towards this movie?-The Lion King","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-How would you rate general public feelings towards this movie?-Frozen","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-How would you rate general public feelings towards this movie?-Finding Nemo","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-How would you rate general public feelings towards this movie?-Newsies","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-How would you rate general public feelings towards this movie?-Remember the Titans","For each of the movies listed, are you aware of the movie and what is your impression of it gener...-How would you rate general public feelings towards this movie?-That Thing You Do",LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID1-1-TEXT'},{'ImportId': 'QID1-2-TEXT'},{'ImportId': 'QID1-3-TEXT'},{'ImportId': 'QID2'},{'ImportId': 'QID6-1'},{'ImportId': 'QID6-2'},{'ImportId': 'QID7-1'},{'ImportId': 'QID7-2'},{'ImportId': 'QID3-TEXT'},{'ImportId': 'QID8'},{'ImportId': 'QID10'},{'ImportId': 'QID13-4'},{'ImportId': 'QID13-5'},{'ImportId': 'QID13-6'},{'ImportId': 'QID13-7'},{'ImportId': 'QID13-11'},{'ImportId': 'QID13-8'},{'ImportId': 'QID13-9'},{'ImportId': 'QID13-10'},{'ImportId': 'QID13-12'},{'ImportId': 'QID13-13'},{'ImportId': 'QID15-4'},{'ImportId': 'QID15-5'},{'ImportId': 'QID15-6'},{'ImportId': 'QID15-7'},{'ImportId': 'QID15-11'},{'ImportId': 'QID15-8'},{'ImportId': 'QID15-9'},{'ImportId': 'QID15-10'},{'ImportId': 'QID15-12'},{'ImportId': 'QID15-13'},{'ImportId': 'QID16-TEXT'},{'ImportId': 'QID11-TEXT'},{'ImportId': 'QID17#1-1'},{'ImportId': 'QID17#1-2'},{'ImportId': 'QID17#1-3'},{'ImportId': 'QID17#1-4'},{'ImportId': 'QID17#1-5'},{'ImportId': 'QID17#1-6'},{'ImportId': 'QID17#2-1'},{'ImportId': 'QID17#2-2'},{'ImportId': 'QID17#2-3'},{'ImportId': 'QID17#2-4'},{'ImportId': 'QID17#2-5'},{'ImportId': 'QID17#2-6'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_3LkmbRb3Pt1aSkD,Default Response Set,130.64.2.85,2020-04-13 13:08:51,2020-04-13 13:09:54,,,,,1,0,Emma,112 Packard Ave,6176279999,1,4,-1,-99,-99,-99,-1,2,-99,-99,-99,1,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,three,3,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_eXpURDAiHmEjqvj,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,"Scelerisque praesent enim volutpat, venenatis a culpa consequat? Orci etiam. Enim nibh metus dapibus. Neque.",Pharetra curabitur. Phasellus massa! Mauris amet suscipit arcu risus. Auctor tempor leo purus.,Non montes sit vestibulum felis natoque eu duis suscipit sagittis nullam est.,1,3,4,1,1,Amet luctus sit! Donec suscipit. Donec proin. Tortor! Atque. Magnis porta convallis nibh rutrum.,1,1,1,1,-99,-99,1,-99,1,1,1,1,1,-99,-99,-99,1,-99,-99,1,-99,-99,95,65,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_egIrVYPub8VexLv,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,"A euismod accumsan, quis. Dolorem fermentum! Eu ullamcorper facilisis. Enim.",Venenatis est ipsum atque nunc interdum curabitur facilisi fermentum neque orci consectetuer.,Dapibus. Orci sit erat bibendum nulla rhoncus. Amet mi venenatis lectus.,3,1,4,-1,-1,"Orci tempora ante, mauris non! Porttitor amet interdum donec? Pharetra.",3,1,1,1,1,1,1,1,1,1,1,1,-99,1,1,-99,-99,1,1,-99,1,1,73,41,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_7ZEh0xqbty3chCt,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,Aenean rhoncus auctor nullam vestibulum? Primis ullamcorper vitae nulla felis urna. Integer. Ridiculus cras.,Aenean vulputate ac ultrices sodales enim risus duis suscipit atque.,"Tempor! Facilisis, nonummy rutrum placerat auctor augue volutpat laoreet? Tellus aliquet mattis.",1,3,3,1,-1,Eros odio accumsan suspendisse neque wisi elit. Imperdiet sapien? Fermentum montes luctus.,3,2,-99,-99,1,1,-99,1,-99,1,1,1,1,1,1,1,1,1,1,1,1,1,34,49,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_37N7ci2zywUctq5,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,Mi! Praesent pretium! Leo dolor platea placerat euismod orci egestas tortor.,"Phasellus? Quis lorem, convallis consectetuer est? Ac eros. Tempor tincidunt.",Mi erat ultrices accusamus ridiculus elit pede. Primis posuere posuere imperdiet aliquam.,5,4,3,4,1,Metus sit erat pharetra per sed vulputate justo morbi culpa dapibus morbi.,2,3,-99,-99,1,-99,-99,1,-99,-99,-99,-99,1,-99,-99,1,-99,1,1,1,1,1,62,38,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_9nqPQWS5pmFVzmZ,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,Maecenas. Tempora pretium nec auctor culpa. Temporibus proin amet est vitae! Pretium posuere.,Potenti bibendum! Morbi vehicula ipsum odio mi ac lorem! Donec diam.,Sagittis duis pretium nunc ac. Praesent arcu lectus facilisis lectus aliquam elementum.,2,4,2,3,4,Augue magna? Ultrices porttitor? Nulla cursus fermentum arcu sollicitudin! Rhoncus.,1,1,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,1,1,1,-99,1,-99,1,-99,1,38,28,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_56gUIASkGnk8us5,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,"Facilisi duis facilisi mauris porta amet? Nec mauris commodo, rutrum! Dignissim.",Suspendisse vivamus suscipit est accusamus felis cursus! Accumsan velit laoreet? Rutrum.,"Molestie natoque facilisis ante culpa est imperdiet tellus urna, in.",2,2,2,2,-1,Culpa purus lectus duis potenti primis. Primis pharetra nullam scelerisque ac justo est justo ultrices.,2,1,-99,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,-99,1,-99,-99,1,-99,-99,83,23,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_ddllWpu4TjV3mE5,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,Nunc et placerat maecenas malesuada ullamcorper ridiculus lorem felis phasellus potenti eget massa.,"Dignissim! Lectus tincidunt enim porttitor diam molestie, volutpat magna ligula cras erat.","Luctus. Luctus? Imperdiet, volutpat! Tempor atque porttitor vehicula dui tempora. Sit ligula ipsum tempora.",2,4,2,3,4,Nec purus tincidunt sed sagittis in. Mauris aliquet sem tortor culpa.,-1,1,-99,1,1,-99,1,-99,1,-99,-99,1,-99,-99,1,1,1,-99,-99,-99,1,1,38,89,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
